game_name,app_id,review_text,user_score,voted_up,source,genres,price,Unnamed: 8
11-11: Memories Retold,6862,"Similar to most interactive storytelling games, 11-11 Memories Retold is not for everyone, and the bold artistic style of the game may be a negative factor for some. But for players looking for a character-driven meditative experience, the game offers a brief, family-oriented, and somewhat flawed look at wars away from the sounds of high explosions we see in other games, and instead presents a humane story about the impact of wars on the people and people around them.",8.0,Neutral,IGN,"Casual, Adventure",29.99,735580.0
12 Minutes,11614,"The story here is everything. The story wasn't mythical, but it wasn't bad either. And finally, it can be said that it's not boring, and that's enough.",6.0,TRUE,SaudiGamer,RPG,24.99,1097200.0
13 Sentinels Aegis Rim,10110,"The number of characters means that there are some slow scenes and re-enactments, and without burning anything from the story some elements of the story and the contact was unsuccessful in my opinion. The combat system is presented abstractly like Google Maps, and makes the distinction between enemies and characters sometimes less clear than expected as well as there is fluctuation in enemies in some fights that are delayed when there are many enemies.",4.0,FALSE,SaudiGamer,"Adventure, RPG, Simulation",,
13 Sentinels Aegis Rim,10110,"The game is a comic book game in which you move between 13 characters, as well as there is tactical combat and a page to review scenes and open files that give you a better idea of the story and characters. What is unique about the game is that you can move between the stories of any of the characters and the free-fight within certain boundaries, making the presentation of the story closer to the gradual completion of the picture rather than a purely linear story and adds much to the experience. The story is the biggest element of the game, there are 13 characters that intersect their stories, and the story is ambitious not only in terms of the number of characters but also in terms of the time frames that it covers, and it is presented to a world of users who are familiar with the 1980s animation and animation, and the game's evolution and evolution of the characters.",6.0,TRUE,SaudiGamer,"Adventure, RPG, Simulation",,
A Plague Tale: Innocence,7547,"The overall gameplay may not be bad, but it's very organized, and it's pretty much the same throughout the game. The game relies entirely on sneaking, but the gameplay methods adopted are very rudimentary, distract the enemy who walks the same path over and over again by throwing stones or other pieces to escape, yes, the game begins to give the player more tools as he progresses through the game, but the artificial intelligence of performance and repetition makes the same gameplay less challenging.",4.0,FALSE,SaudiGamer,"Adventure, Action",69.99,752590.0
A Plague Tale: Requiem,13346,"After the emergence of A Plague Tale: Innocence and its great success, A Plague Tale: Requiem was able to offer a much more enjoyable storytelling experience than it did in the previous installment, with Asobo Studio focusing more on the relationship between ""A Plague Tale: Requiem"" and its younger brother, and their ability to find a cure for plague, as well as emotional rewards for ""A Plague Tale"" about what plague plays, a game in which ""A Plague Tale: A Plague Tale"" is completely successful.",9.0,Neutral,IGN,"Adventure, Action",69.99,1182900.0
A Plague Tale: Requiem,13346,"The game's storyline is powerful and influential despite the fact that there are some problems with the character of Amesia that makes you attached to it, the skill tree system is very realistic, the mouse design is really scary, the numbers are huge, the music is enjoyable and the sound is spectacular.",5.0,FALSE,ArabHardware,"Adventure, Action",69.99,1182900.0
A Plague Tale: Requiem,13346,"The design of the stages is boring and the game is challenging in its essence, the artificial intelligence of the soldiers is too low, there are major performance problems, and the number of game chapters is too long.",4.0,FALSE,ArabHardware,"Adventure, Action",69.99,1182900.0
A Quiet Place: The Road Ahead,17489,"The game's powerful storyline introduces a new addition to the world of the A Quiet Place film series with featured characters that make you feel influenced by their journey into this dead world that wants to kill you every second. Solving puzzles was characterized by new and innovative ideas and added to the horror and survival experience offered by the game, you can't face monsters face to face and you have to crawl through the hours of play, and solving puzzles here adds a new level of horror, especially when enemies are close to you. Each game relies primarily on sounds.",6.0,TRUE,SaudiGamer,"Adventure, Action, Puzzle",29.99,2233120.0
A Quiet Place: The Road Ahead,17489,"The game is experiencing some technical performance problems, especially on the PC platform that we have tried and it is possible that the frames will suddenly land in areas that do not deserve to be landed where there is a noticeable difference in the graphical level and visual design of the game in general where you will find some areas that are visually stunning and other areas quite the opposite.",4.0,FALSE,SaudiGamer,"Adventure, Action, Puzzle",29.99,2233120.0
